"18","Morn Yoga Flow (Kassandra) 15min","Flow","null","2021-12-26","null"
"23","StrengthSideArms (3x30s)","Flow","null","2021-12-26","null"
"18","Morn Yoga Flow (Kassandra) 15min","Flow","null","2021-12-26","null"
"23","StrengthSideArms (3x30s)","Flow","null","2021-12-26","null"
"19","Morning 3 Treasure (prioriity)","Flow","null","2021-12-26","null"
"15","Hang Stretches","Stretch","null","2021-12-26","30s"
"16","Piriformis Release [Thrival]","Release","null","2021-12-26","45s"
"18","Morn Yoga Flow (Kassandra) 15min","Flow","null","2021-12-27","null"
"23","StrengthSideArms (3x30s)","Flow","null","2021-12-27","null"
"15","Hang Stretches","Stretch","null","2021-12-27","45s"
"19","Morning 3 Treasure (prioriity)","Flow","null","2021-12-27","null"
"1","pull lat","Duration","null","2021/12/28 11:42:37","30s"
"1","D","Stretch","null","2021-12-31","300s"
"1","pull lat","Duration","null","2021/12/31 13:19:48","30s"
"1","BodyRoll test","Stretch","null","2021-12-31","300s"
"1","pull lat","Duration","null","2021/12/31 13:30:33","30s"
"1","pull lat","Duration","null","2021/12/31 13:32:16","30s"
"22","BodyRoll","TechniqueRepeat","null","2021-12-31","30s","pull lat","Duration","null","2022/01/05 23:46:03","30s"
"1","pull lat","Duration","null","2022/01/05 23:47:54","30s"
"36","Latin Jive Twists","TechniqueRepeat","null","2022-01-05","30s"
"18","Morn Yoga Flow (Kassandra) 15min","Flow","null","2022-01-06","null"
"34","Strength Side Flow (6min~)","Flow","null","2022-01-06","null"
"15","Hang Stretches","Stretch","null","2022-01-06","60s"
"19","Morning 3 Treasure (priority) 3X45sX15s","Flow","null","2022-01-06","null"
"36","Latin Jive Twists","TechniqueRepeat","null","2022-01-06","20s"
"22","BodyRoll","TechniqueRepeat","null","2022-01-06","45s"
"26","Dynamic Frame Walk","Flow","null","2022-01-06","45"
"18","Morn Yoga Flow (Kassandra) 15min","Flow","null","2022-01-08","null"
"34","Strength Side Flow (6min~)","Flow","null","2022-01-08","null"
"15","Hang Stretches","Stretch","null","2022-01-08","90s"
"19","Morning 3 Treasure (priority) 3X45sX15s","Flow","null","2022-01-08","null"
"26","Dynamic Frame Walk","Flow","null","2022-01-08","15s"
"18","Morn Yoga Flow (Kassandra) 15min","Flow","null","2022-01-10","null"
"34","Strength Side Flow (6min~)","Flow","null","2022-01-10","null"
"15","Hang Stretches","Stretch","null","2022-01-10","40s"
"19","Morning 3 Treasure (priority) 3X45sX15s","Flow","null","2022-01-10","null"
"18","Morn Yoga Flow (Kassandra) 15min","Flow","null","2022-01-10","null"
"19","Morning 3 Treasure (priority) 3X45sX15s","Flow","null","2022-01-10","null"
"37","I Had a Good Day","Affirmation","null","2022-01-11","null"
"18","Morn Yoga Flow (Kassandra) 15min","Flow","null","2022-01-11","null"
"34","Strength Side Flow (6min~)","Flow","null","2022-01-11","null"
"15","Hang Stretches","Stretch","null","2022-01-11","45s"
"19","Morning 3 Treasure (priority) 3X45sX15s","Flow","null","2022-01-11","null"
"18","Morn Yoga Flow (Kassandra) 15min","Flow","null","2022-01-12","null"
"34","Strength Side Flow (6min~)","Flow","null","2022-01-12","null"
"15","Hang Stretches","Stretch","null","2022-01-12","40s"
"15","Hang Stretches","Stretch","null","2022-01-12","40s"
"31","Mixed (Str & Card) 7m min.","Workout","null","2022-01-11","30"
"38","Roll with the punches","Affirmation","null","2022-01-12","null"
"41","I fucking got this x10","Affirmation","null","2022-01-13","1"
"22","BodyRoll","TechniqueRepeat","null","2022-01-13","30s"
"41","I fucking got this x10","Affirmation","null","2022-01-13","1"
"38","Roll with the punches","Affirmation","null","2022-01-13","null"
"18","Morn Yoga Flow (Kassandra) 15min","Flow","null","2022-01-13","null"
"34","Strength Side Flow (6min~)","Flow","null","2022-01-13","null"
"15","Hang Stretches","Stretch","null","2022-01-13","45s"
"18","Morn Yoga Flow (Kassandra) 15min","Flow","null","2022-01-14","null"
"37","[Duo] Now & Future Gratefulness","Affirmation","null","2022-01-15","null"
"18","Morn Yoga Flow (Kassandra) 15min","Flow","null","2022-01-15","null"
"15","Hang Stretches","Stretch","null","2022-01-15","45s"
"34","Strength Side Flow (6min~)","Flow","null","2022-01-15","null"
"19","Morning 3 Treasure (priority) 3X45sX15s","Flow","null","2022-01-15","null"
"45","Wind-Down End-day Routine","Ritual","null","2022-01-15","null"
"18","Morn Yoga Flow (Kassandra) 15min","Flow","null","2022-01-16","null"
"34","Strength Side Flow (6min~)","Flow","null","2022-01-16","null"
"19","Morning 3 Treasure (priority) 3X45sX15s","Flow","null","2022-01-16","null"
"37","[Duo] Now & Future Gratefulness","Affirmation","null","2022-01-16","null"
"41","I fucking got this x10","Affirmation","null","2022-01-16","1"
"15","Hang Stretches","Stretch","null","2022-01-16","30s"
"41","I fucking got this x10","Affirmation","null","2022-01-16","1"
"45","Wind-Down End-day Routine","Ritual","null","2022-01-16","null"
"42","Mid-Day Walk Stretch (Air)","Stretch","null","2022-01-16","null"
"28","Run","Workout","null","2022-01-16","3m"
"41","I fucking got this x10","Affirmation","null","2022-01-17","1"
"18","Morn Yoga Flow (Kassandra) 15min","Flow","null","2022-01-17","null"
"34","Strength Side Flow (6min~)","Flow","null","2022-01-17","null"
"19","Morning 3 Treasure (priority) 3X45sX15s","Flow","null","2022-01-17","null"
"39","I am Grateful","Affirmation","null","2022-01-17","null"
"41","I fucking got this x10","Affirmation","null","2022-01-17","1"
"18","Morn Yoga Flow (Kassandra) 15min","Flow","null","2022-01-18","null"
"34","Strength Side Flow (6min~)","Flow","null","2022-01-18","null"
"19","Morning 3 Treasure (priority) 3X45sX15s","Flow","null","2022-01-18","null"
"41","I fucking got this x10","Affirmation","null","2022-01-18","1"
